name,birthplace,lat,lon,nationality,entry_year,Life,img,full_name,
Agnes  Imlach,Edinburgh,55.953252,-3.188267,,1869,1848-1916,null,Agnes Campbell Imlach,
Agnes M'Laren,Edinburgh,55.953252,-3.188267,,1869,,agnes_mlaren.png,Agnes M'Laren,
Alexina Ker,Edinburgh,55.953252,-3.188267,,1869,1833-1892,null,Alexina Christina Emma Ker,
Alice Ker,"Deskford, Banffshire",57.640524,-2.842792,,1869,1853-1943,alice_ker.png,Alice Jane Shannon Stewart Ker,
Anna Dahms,"Müncheberg, Brandenburg, Preußen",52.506917,14.128162,,1869,1848-1917,null,Anna Dahms,
Anne Anderson,"Saint Cuthberts, Edinburgh",55.949638,-3.205093,,1869,1847-1935,null,Anne Maria Jane Anderson later Somerville,
Annie Barker,Stoke-on-Trent,53.003337,-2.182741,,1869,1851–1945,null,Annie Reay Barker,
Caroline Robertson,"Ghazipur, India",25.58779,83.578308,,1869,1847-1931,null,Caroline Sarah Robertson,"Not sure which Ghazipur, either in Uttar Pradesh or in Bihar"
Eliza Walker,Bombay,18.958235,72.831951,,1869,1845-1925,eliza_dunbar.png,Eliza Louisa Walker later Dunbar,
Anne Clark,,,,,1869,1844-1925,null,Elizabeth M[ary] Clark OR Anne Elizabeth Clark,"Street, Somerset, if it's Anne Elizabeth Clark"
Elizabeth Ker,Edinburgh,55.953252,-3.188267,,1869,1831-1915,null,Elizabeth Madeline Catherine Ker,
Elizabeth Marshall,,,,,1869,,null,Elizabeth Marshall,
Elizabeth Vinson,"Harrietsham, Kent,",51.241971,0.675003,,1869,1841-1926,null,Elizabeth Vinson,
Emily Bovell,London,51.507218,-0.127586,,1869,1841-1885,null,Emily Bovell later Sturge,
Emily Masson,London,51.507218,-0.127586,,1869,1835-1915,emily_orme.png,Emily Rosaline Masson née Orme,
Flora Stevenson,Glasgow,55.86167,-4.258334,,1869,,flora_stevenson.png,Flora C Stevenson,
Helen Evans,"Athy, Ireland",52.992358,-6.983398,,1869,1833-1903,null,Helen (de Lacy) Evans,
Isabel Pryer,London,51.507218,-0.127586,,1869,1834-1910,isabel_thorne.png,Isabel Jane Pryer later Thorne,
Isabella Johnstone,"Dum Dum, Bengal", 22.642011,88.431169,,1869,1841-1891,null,"Isabella Margaret Hope Johnstone, later Foggo",
Jane Clapperton,"Saint Cuthberts, Edinburgh",55.949638,-3.205093,,1869,1832-1914,null,Jane (Hume) Clapperton,
Jane Macmillan,Edinburgh,55.953252,-3.188267,,1869,1841-1908,null,Jane Aurelia Macmillan née Anderson?,
Jane Rorison," Peterhead, Aberdeenshire",57.508123,-1.784066,,1869,,null,Jane Russell Rorison,
Louisa Stevenson,Glasgow,55.86167,-4.258334,,1869,,louisa_stevenson.png,Louisa Stevenson,
Margaret McDonald,Edinburgh,55.953252,-3.188267,,1869,1841-1913,null,Margaret Constable McDonald,
Margaret Bryson,"Saint Cuthberts, Edinburgh",55.949638,-3.205093,,1869,1853-1939,null,Margaret Gillespie Bryson,
Margaret Orr,Glasgow,55.86167,-4.258334,,1869,1825-1910,margaret_orr.png,Margaret Mather Orr,
Margaret Hume,Edinburgh,55.953252,-3.188267,,1869,1839/1900?,null,Margaret Scott Hume,
Martha Cash,Manchester,53.480759,-2.24263,,1869,1852-1918,martha_cash.png,Martha Lilian Cash,
Mary Anderson,"Boyndie, Banffshire",57.663491,-2.60311,,1869,1837-1910,mary_anderson.png,Mary Adamson Anderson later Marshall,
Mary Cadell,Cockenzie,55.9694,-2.962627,,1869,1828-1901,martha_cadell.png,Mary Cadell,
Mary Pechey,Langham,51.945155,0.950081,,1869,,edith_pechey.png,Mary Edith Pechey,
Mary Robertson,Ghazipur?,25.58779,83.578308,,1869,1845-1907,null,Mary Emilia Robertson,
Mary McCarter,,,,,1869,1830-1889,null,Mary F (J?) McCarter,
Mary Green,,,,,1869,,null,Mary Green,
Mary Durham,"Canongate, Edinburgh",55.951498,-3.179381,,1869,1844-1937,null,Mary Patterson Durham,
Mary Sinclair," Leith, Midlothian",55.975464,-3.16653,,1869,1845-1891,null,Mary Spalding Roberts Sinclair,
Matilda Chaplin,"Honfleur, France",49.418762,0.233262,,1869,1846-1883,matilda_chaplin.png,Matilda Charlotte Chaplin,
Rose Shedlock,"Croydon, Surrey, ",51.362729,-0.064207,,1869,1850-1879,null,Rose Anna Shedlock later Roux,
Sophia Jex-Blake,Hastings,50.854259,0.573453,,1869,1840-1912,jex_blake.png,Sophia Louisa Jex-Blake,
Sophie Mundy,"Spilsby, Lincolnshire, ",53.174675,0.09144,,1869,1845-c1906,null,Sophie Jane Massingberd Mundy,
